S#,SNAME,SEX,BDATE,HEIGHT,DORM
01032010,秦东霞,女,2002-01-10,1.76,东20舍932
01032011,王晶,男,2005-09-05,1.63,东2舍523
01032012,陈乾,男,2002-02-03,1.8,东9舍326
01032013,郝亦江,男,2002-01-10,1.7,东4舍903
01032014,王开颜,女,2003-07-20,1.86,东12舍711
01032015,刘宇廷,男,2003-07-30,1.85,东17舍603
01032016,李冰,男,2003-08-12,1.89,东14舍826
01032017,李沐航,女,2002-03-17,1.67,东13舍111
01032018,董艺双,女,2005-12-28,1.8,东4舍221
01032019,李永辉,男,2004-10-06,1.81,东14舍115
01032020,周宇,男,2003-02-12,1.86,东4舍719
01032021,王逸昀,男,2005-03-11,1.69,东13舍623
01032022,郭英倩,女,2003-03-11,1.62,东19舍618
01032023,邓彼岸,男,2002-02-10,1.61,东1舍922
01032024,杨佳霖,女,2003-09-09,1.77,东4舍413
01032025,顾超,男,2004-07-25,1.63,东1舍125
01032026,封成,男,2003-11-15,1.77,东20舍528
01032027,周雯,女,2003-09-01,1.8,东16舍526
01032028,胡玉颖,女,2003-02-23,1.59,东6舍819
01032029,靳冬雪,女,2005-06-22,1.7,东8舍821
01032030,石然,女,2005-03-19,1.73,东6舍705
01032031,李云开,女,2003-02-16,1.65,东9舍524
01032032,潘安,男,2003-07-01,1.61,东8舍109
01032033,王妍玫,女,2003-05-13,1.61,东3舍922
01032034,李琳,女,2004-07-20,1.76,东2舍425
01032035,张浩东,男,2004-10-13,1.67,东18舍320
01032036,张上,女,2005-06-19,1.59,东7舍218
01032037,吴琦,男,2005-04-12,1.9,东1舍225
01032038,段雅鸣,男,2005-04-02,1.78,东18舍103
01032039,安颖,女,2005-05-20,1.77,东18舍917
01032040,林庆霖,男,2002-03-01,1.88,东7舍928
01032041,仇天棋,男,2004-05-28,1.78,东15舍601
01032042,徐磊冬,女,2005-06-17,1.68,东10舍126
01032043,孙畅,女,2005-08-19,1.74,东4舍222
01032044,邵雅娟,女,2004-09-12,1.66,东8舍903
01032045,丁哲章,男,2002-06-27,1.81,东3舍325
01032046,熊英,女,2005-12-13,1.86,东4舍415
01032047,丁黎,女,2005-08-02,1.59,东5舍431
01032048,杨倩熙,女,2002-09-30,1.78,东16舍226
01032049,许国强,男,2004-08-13,1.68,东21舍613
01032050,邓惟思,女,2004-03-20,1.9,东11舍509
01032051,丁芳,女,2002-03-22,1.83,东21舍715
01032052,漆春兰,女,2003-11-27,1.86,东14舍618
01032053,赵克纬,男,2004-05-27,1.67,东21舍321
01032054,王骞禹,男,2002-01-28,1.6,东6舍515
01032055,陈豪,男,2005-02-23,1.64,东12舍806
01032056,邱韵霏,女,2002-09-20,1.87,东3舍519
01032057,葛盈泽,男,2005-02-17,1.59,东20舍114
01032058,刘威,男,2003-10-14,1.87,东6舍733
01032059,杨昕陶,男,2003-07-24,1.88,东3舍530
01032060,陈结儿,女,2004-02-13,1.82,东15舍429
01032061,王一帆,女,2002-05-14,1.68,东16舍221
01032062,王涛,男,2005-05-02,1.81,东14舍408
01032063,李昕宇,男,2004-02-25,1.73,东15舍704
01032064,聂盈,女,2003-03-31,1.72,东13舍509
01032065,陈禹洲,男,2005-06-27,1.88,东14舍128
01032066,张天琦,女,2003-10-19,1.71,东16舍209
01032067,刘运昌,男,2002-12-20,1.6,东17舍606
01032068,孙桐,男,2002-07-17,1.62,东21舍626
01032069,熊若尧,男,2003-08-24,1.7,东11舍704
01032070,刘孟琳,女,2003-10-06,1.82,东4舍412
01032071,黄乙鑫,女,2004-02-01,1.79,东13舍604
01032072,马苓珉,女,2004-04-10,1.7,东5舍917
01032073,郝彤欣,女,2004-10-09,1.71,东20舍832
01032074,罗技,男,2002-07-18,1.81,东14舍128
01032075,袁璐,女,2004-04-08,1.73,东6舍719
01032076,焦宇晨,女,2004-05-30,1.66,东18舍924
01032077,曾亚男,男,2003-07-10,1.67,东16舍429
01032078,赵子琪,女,2005-12-02,1.69,东18舍925
01032079,王磊,男,2004-06-23,1.86,东12舍419
01032080,张晗,男,2003-08-26,1.81,东11舍627
01032081,曹竹吟,女,2002-10-17,1.59,东21舍511
01032082,葛天雨,男,2002-01-11,1.78,东10舍812
01032083,陈文韬,男,2002-01-13,1.69,东6舍206
01032084,罗技,男,2003-02-08,1.77,东19舍810
01032085,徐祖炀,男,2003-04-15,1.89,东14舍810
01032086,张子祺,男,2004-06-11,1.87,东2舍730
01032087,黄燕婷,女,2005-04-15,1.85,东4舍904
01032088,宁玉菡,女,2004-08-10,1.9,东5舍202
01032089,劳怡楠,女,2004-10-11,1.88,东10舍721
01032090,李悦,女,2005-05-25,1.75,东8舍219
01032091,杨兆丰,男,2002-04-10,1.69,东2舍522
01032092,王简,女,2002-02-10,1.63,东2舍702
01032093,关毅飞,男,2004-10-05,1.62,东3舍929
01032094,郭玉涵,男,2003-03-09,1.84,东4舍816
01032095,和彦洁,女,2005-09-23,1.7,东19舍122
01032096,王亚楠,男,2003-06-08,1.68,东3舍524
01032097,黎莎,女,2002-12-31,1.78,东3舍217
01032098,杜旺伦,男,2003-10-11,1.84,东11舍321
01032099,李楚杨,女,2002-09-15,1.59,东15舍711
01032100,王怀新,男,2003-07-28,1.78,东15舍133
01032101,吴乐蒙,男,2005-01-30,1.59,东5舍525
01032102,童毅,男,2002-10-29,1.81,东15舍911
01032103,刘思琪,男,2003-05-01,1.77,东13舍429
01032104,李许源,男,2002-04-17,1.85,东13舍831
01032105,王甫镔,男,2004-11-25,1.86,东11舍425
01032106,曹汶静,女,2005-07-01,1.58,东17舍301
01032107,李泽锋,男,2004-07-22,1.67,东21舍905
01032108,徐莉,女,2004-09-09,1.6,东14舍816
01032109,唐用,男,2005-07-31,1.77,东4舍814
01032110,马力兴,男,2005-03-05,1.76,东20舍706
01032111,刘诗佳,女,2005-02-16,1.66,东11舍533
01032112,张良宝,男,2004-10-16,1.64,东12舍125
01032113,盖宇航,男,2002-07-29,1.85,东11舍828
01032114,黎琼泽,女,2004-09-14,1.71,东1舍213
01032115,于姝婷,女,2003-10-31,1.89,东12舍121
01032116,江小雨,女,2005-10-15,1.86,东8舍501
01032117,冯虹,女,2005-07-13,1.74,东3舍505
01032118,杨佳立,女,2005-11-25,1.88,东16舍329
01032119,师铮,男,2005-09-03,1.85,东21舍707
01032120,刘倩莹,女,2005-07-07,1.87,东12舍311
01032121,林忻,女,2005-06-12,1.61,东13舍710
01032122,王芙蓉,女,2004-10-09,1.84,东16舍203
01032123,戎毅杰,男,2005-10-24,1.81,东17舍512
01032124,陈小清,女,2004-06-07,1.75,东6舍604
01032125,屠腾,男,2005-10-01,1.82,东21舍717
01032126,黄程,女,2005-08-08,1.73,东17舍523
01032127,刘佳铭,女,2005-02-22,1.85,东20舍928
01032128,陈喜燕,女,2004-10-07,1.84,东15舍827
01032129,袁健,男,2005-07-30,1.8,东15舍328
01032130,安婧雯,女,2003-01-27,1.85,东17舍125
01032131,蒋晓菲,女,2003-02-03,1.67,东6舍126
01032132,秦利,男,2003-11-29,1.65,东9舍531
01032133,吴钟全,男,2005-08-07,1.76,东21舍411
01032134,龚承乾,男,2002-05-08,1.62,东19舍832
01032135,孙国柱,男,2003-07-14,1.59,东7舍833
01032136,羊彦舟,男,2005-04-15,1.7,东9舍403
01032137,孟祥瑜,男,2003-03-06,1.77,东6舍310
01032138,林雅心,女,2004-01-27,1.89,东15舍422
01032139,田李昊,男,2004-09-02,1.79,东17舍407
01032140,黄佳,女,2005-02-26,1.88,东12舍829
01032141,王简,女,2002-02-16,1.72,东15舍503
01032142,何晨,女,2003-10-22,1.67,东3舍314
01032143,杨子恒,男,2003-01-23,1.86,东17舍316
01032144,赵乃乐,男,2003-04-26,1.66,东15舍331
01032145,齐思原,女,2004-04-25,1.58,东6舍410
01032146,苏玥,女,2005-04-15,1.83,东6舍519
01032147,邹冰洋,男,2005-09-21,1.86,东11舍431
01032148,蔡鑫,男,2005-07-12,1.88,东9舍124
01032149,魏丽莉,女,2004-08-30,1.62,东7舍804
01032150,杨佳霖,女,2004-04-29,1.7,东13舍232
01032151,熊碧莲,女,2002-05-18,1.72,东19舍226
01032152,汪懿洲,女,2002-09-29,1.72,东1舍804
01032153,孙小溪,女,2004-03-21,1.69,东7舍633
01032154,曹守义,男,2002-01-18,1.75,东3舍233
01032155,奚凯琳,女,2003-03-20,1.84,东1舍811
01032156,牛牧淳,男,2003-03-08,1.89,东2舍132
01032157,田韫钰,女,2004-09-16,1.67,东8舍418
01032158,王腾慧,女,2005-10-15,1.77,东5舍902
01032159,刘权德,男,2004-04-20,1.69,东11舍802
01032160,杨雨秋,女,2004-07-05,1.87,东16舍522
01032161,贾美娟,女,2003-06-28,1.83,东11舍824
01032162,王菲,女,2004-04-27,1.61,东11舍906
01032163,张凌峰,男,2005-07-07,1.75,东20舍502
01032164,华晓盼,女,2004-11-12,1.71,东11舍201
01032165,李阮存,男,2004-06-21,1.6,东14舍725
01032166,李旻珊,女,2004-03-24,1.65,东1舍904
01032167,王丹绮,女,2002-01-18,1.64,东15舍301
01032168,阮呈祥,男,2004-09-03,1.67,东13舍808
01032169,梁钰,男,2003-03-20,1.61,东16舍620
01032170,韩甲源,男,2005-10-27,1.67,东9舍832
